LATITUDE,LONGITUDE,OC,NDVI_v1,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12
13.01861111,74.81444444,1.57,0.183425204,695,1290,1691,2148,2160.5,2416,2693.5,3113,3100,3149.5,4226.5,3195
12.85397,74.97201,1.04,0.206480933,947,1177,1562,2052,2386.5,2798.5,3046,3036,3194.5,3245,4306.5,3241.5
12.853512,74.9748,1.41,0.150655414,1202.5,1468,2082,2478,2888,3149,3402.5,3281,3539.5,3434,4924,3886.5
12.859815,75.235672,1.02,0.175918019,739.5,929,1339,1940,2271,2568,2816.5,2774,2902,2934,3966.5,2910.5
12.8533,74.97565,1.35,0.16867056,1110,1415,1967,2348,2633,3167,3457.5,3336,3634,3363.5,4175.5,3123.5
12.853302,74.97564,0.97,0.16867056,1110,1415,1967,2348,2633,3167,3457.5,3336,3634,3363.5,4175.5,3123.5
12.8537,74.9731,0.85,0.144383057,1174,1461,2020,2323,2713.5,3053,3237,3107,3365,3265,4624,3614.5
13.01277778,74.81444444,0.83,0.128875111,630.5,910,1247,1876,2013,2341.5,2541,2506,2717.5,2551.5,3696,2738.5
13.01277778,74.81444444,0.85,0.128875111,630.5,910,1247,1876,2013,2341.5,2541,2506,2717.5,2551.5,3696,2738.5
12.85428,74.975712,1.03,0.263416816,1025,1293,1604,1870,2088.5,2562.5,2845,2740,3043,3182,3797.5,2823.5
12.85256,74.97432,0.7,0.254488247,1123.5,1281,1790,2014,2574,3200,3470,3389,3610.5,3353.5,4161,3039.5
12.85256,74.97432,0.77,0.254488247,1123.5,1281,1790,2014,2574,3200,3470,3389,3610.5,3353.5,4161,3039.5
13.01833333,74.81583333,1.31,0.170229008,656.5,1273,1694,2174,2366.5,2645,2948,3066,3223.5,2986,4269,3214.5
13.01833333,74.81583333,1.34,0.170229008,656.5,1273,1694,2174,2366.5,2645,2948,3066,3223.5,2986,4269,3214.5
13.01833333,74.81583333,0.39,0.170229008,656.5,1273,1694,2174,2366.5,2645,2948,3066,3223.5,2986,4269,3214.5
13.01833333,74.81583333,1.23,0.170229008,656.5,1273,1694,2174,2366.5,2645,2948,3066,3223.5,2986,4269,3214.5
13.01833333,74.81583333,0.96,0.170229008,656.5,1273,1694,2174,2366.5,2645,2948,3066,3223.5,2986,4269,3214.5
12.85326,74.97222,0.36,0.225509028,1199.5,1088.5,1575,1871,2462,3042,3382.5,3294,3509.5,3457.5,4047.5,2948.5
13.01222222,74.82416667,1.15,0.253898068,643,939.5,1315,1787,2051.5,2496.5,2745.5,2713,2964.5,2819.5,3602.5,2601
13.01222222,74.82416667,1.11,0.253898068,643,939.5,1315,1787,2051.5,2496.5,2745.5,2713,2964.5,2819.5,3602.5,2601
13.01222222,74.82416667,0.92,0.253898068,643,939.5,1315,1787,2051.5,2496.5,2745.5,2713,2964.5,2819.5,3602.5,2601
12.892562,75.22958,0.31,0.163116928,773,1063,1544,2367,2573,3079.5,3466.5,3477.5,3457.5,3426,3766,2500.5
12.8499,74.9862,1.05,0.25503498,835,1104,1406,1757,2004,2348.5,2603,2960,3019,3037.5,4253,3135.5
12.8499,74.9862,0.7,0.25503498,835,1104,1406,1757,2004,2348.5,2603,2960,3019,3037.5,4253,3135.5
12.877941,75.23666,0.33,0.248755669,709.5,832.5,1233,1698,2011.5,2510.5,2787.5,2822.5,2944,2813.5,3178.5,2199.5
12.877942,75.23667,0.36,0.248755669,709.5,832.5,1233,1698,2011.5,2510.5,2787.5,2822.5,2944,2813.5,3178.5,2199.5
13.01861111,74.82083333,0.98,0.163667895,685.5,970,1434,1929,2181.5,2489,2687,2684,2844,2868.5,3395.5,2525.5
12.85307,74.97601,0.63,0.169278997,1010,1250,1765,2145,2387,2889.5,3226.5,3097,3421,3330.5,3787.5,2659
13.02305556,74.83277778,1.37,0.244212963,661.5,905,1151,1593,1850,2073.5,2286.5,2600,2678,2958,4129,3094.5
13.02305556,74.83277778,1.09,0.244212963,661.5,905,1151,1593,1850,2073.5,2286.5,2600,2678,2958,4129,3094.5
12.84994,74.9860504,0.83,0.267573696,835,1049.5,1311,1632,1973.5,2402,2649.5,2822,2988.5,3037.5,4537,3201.5
12.84994,74.9860504,0.99,0.267573696,835,1049.5,1311,1632,1973.5,2402,2649.5,2822,2988.5,3037.5,4537,3201.5
12.89581,75.225023,0.34,0.197429785,710,941.5,1407,1886,2226,2582,2775.5,2789.5,2966.5,3041,3704,2596.5
12.85297,74.97903,0.86,0.202791625,685.5,1145,1544,1968,2361.5,2738.5,3091.5,3059,3248,3162.5,4342,3151
12.844139,74.98054,1.09,0.23775245,660.5,1131,1606,2015,2249,2857,3190.5,3163,3479,3228,4191,3072
12.844139,74.98054,0.89,0.23775245,660.5,1131,1606,2015,2249,2857,3190.5,3163,3479,3228,4191,3072
12.84978,74.98485,1.07,0.224853192,1065,1233,1585,2092,2204.5,2764.5,3200,3259,3624,3668,4096.5,2902
12.84978,74.98485,1.14,0.224853192,1065,1233,1585,2092,2204.5,2764.5,3200,3259,3624,3668,4096.5,2902
12.84726,74.98766,1.06,0.236387492,633.5,1010,1377,1768,2115.5,2553.5,2849,3075,3257.5,3180,4224.5,3104.5
