LATITUDE,LONGITUDE,OC,NDVI_v1,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12
12.8539,74.97424,1.13,0.220910038,1172.5,1412,1802,2243,2454.5,3088.5,3395,3515,3675.5,3407,4344.5,3196
12.87348,75.24698,1.32,0.186911927,767.5,1354,1728,2398,2161,2981.5,3312,3500.5,3536,3430,3151.5,2209
12.898921,75.225039,0.98,0.189855246,619,796.5,1077,1693,2031.5,2226.5,2443,2486.5,2568,2793.5,3218.5,2343.5
12.84978,74.98485,1.07,0.224853192,1065,1233,1585,2092,2204.5,2764.5,3200,3259,3624,3668,4096.5,2902
12.84978,74.98485,1.14,0.224853192,1065,1233,1585,2092,2204.5,2764.5,3200,3259,3624,3668,4096.5,2902
12.85297,74.97903,0.86,0.202791625,685.5,1145,1544,1968,2361.5,2738.5,3091.5,3059,3248,3162.5,4342,3151
12.8492924,74.9839,0.47,0.228077572,809,1114,1462,1862,2339,2617.5,2926,2927,3255.5,3288.5,4333.5,3180
12.85207,74.97824,0.99,0.222084059,932.5,1076,1272,1476,1783,1991.5,2317.5,2354,2545.5,3097,3546.5,2687
13.01972222,74.81444444,1.43,0.234491018,618.5,888,1206,1580,1857,2202.5,2501.5,2500,2859.5,2823,3833.5,2863.5
12.848835,74.9827,0.71,0.215411559,973.5,1145.5,1291,1574,1898.5,2134,2339.5,2436,2707,2921,4197,3109.5
13.02305556,74.83277778,1.37,0.244212963,661.5,905,1151,1593,1850,2073.5,2286.5,2600,2678,2958,4129,3094.5
13.02305556,74.83277778,1.09,0.244212963,661.5,905,1151,1593,1850,2073.5,2286.5,2600,2678,2958,4129,3094.5
12.8548,74.97506,1.39,0.225939505,906.5,1090,1452,1689,1658,2402,2754.5,2675,2906,2963.5,2908.5,2100.5
12.88014,75.2473,0.73,0.241655541,727.5,1262,1544,1846,2085,2652.5,2907.5,3022.5,3081.5,3145,2939,2271
12.88015,75.24731,0.62,0.241655541,727.5,1262,1544,1846,2085,2652.5,2907.5,3022.5,3081.5,3145,2939,2271
12.88016,75.24732,1.15,0.241655541,727.5,1262,1544,1846,2085,2652.5,2907.5,3022.5,3081.5,3145,2939,2271
12.85344,74.975737,1.47,0.238636364,1190,1225,1780,1982,2456.5,2987,3323.5,3328,3492,3559.5,4016,3016.5
13.01222222,74.82416667,1.15,0.253898068,643,939.5,1315,1787,2051.5,2496.5,2745.5,2713,2964.5,2819.5,3602.5,2601
13.01222222,74.82416667,1.11,0.253898068,643,939.5,1315,1787,2051.5,2496.5,2745.5,2713,2964.5,2819.5,3602.5,2601
13.01222222,74.82416667,0.92,0.253898068,643,939.5,1315,1787,2051.5,2496.5,2745.5,2713,2964.5,2819.5,3602.5,2601
