LATITUDE,LONGITUDE,OC,NDVI_v1,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance
12.85321,74.97324,1.22,0.180315409,1187.5,1368,1863,2221,2718.5,3063.5,3333,3198,3415,3409,4479,3303.5,3,0.54662399,0.182207997,0.180315405,0.002693405,0.180291563,0.186017022,0.005725458,0.180291563,0.180291563,3,7.25E-06
13.01861111,74.81444444,1.5,0.183425204,695,1290,1691,2148,2160.5,2416,2693.5,3113,3100,3149.5,4226.5,3195,3,0.537473708,0.179157903,0.183425203,0.010066711,0.165261999,0.188786507,0.023524508,0.165261999,0.165261999,3,0.000101339
13.01861111,74.81444444,1.41,0.183425204,695,1290,1691,2148,2160.5,2416,2693.5,3113,3100,3149.5,4226.5,3195,3,0.537473708,0.179157903,0.183425203,0.010066711,0.165261999,0.188786507,0.023524508,0.165261999,0.165261999,3,0.000101339
13.01861111,74.81444444,1.4,0.183425204,695,1290,1691,2148,2160.5,2416,2693.5,3113,3100,3149.5,4226.5,3195,3,0.537473708,0.179157903,0.183425203,0.010066711,0.165261999,0.188786507,0.023524508,0.165261999,0.165261999,3,0.000101339
13.01861111,74.81444444,1.14,0.183425204,695,1290,1691,2148,2160.5,2416,2693.5,3113,3100,3149.5,4226.5,3195,3,0.537473708,0.179157903,0.183425203,0.010066711,0.165261999,0.188786507,0.023524508,0.165261999,0.165261999,3,0.000101339
13.01861111,74.81444444,0.86,0.183425204,695,1290,1691,2148,2160.5,2416,2693.5,3113,3100,3149.5,4226.5,3195,3,0.537473708,0.179157903,0.183425203,0.010066711,0.165261999,0.188786507,0.023524508,0.165261999,0.165261999,3,0.000101339
13.01861111,74.81444444,1.57,0.183425204,695,1290,1691,2148,2160.5,2416,2693.5,3113,3100,3149.5,4226.5,3195,3,0.537473708,0.179157903,0.183425203,0.010066711,0.165261999,0.188786507,0.023524508,0.165261999,0.165261999,3,0.000101339
12.89705,75.22386,0.64,0.134917156,639.5,1026,1476,2259,2201.5,2810,3102,3332,3139,2895.5,3570.5,2494,3,0.519186854,0.173062285,0.191915572,0.026973274,0.134917155,0.192354128,0.057436973,0.134917155,0.134917155,3,0.000727558
12.89705,75.223861,0.35,0.134917156,639.5,1026,1476,2259,2201.5,2810,3102,3332,3139,2895.5,3570.5,2494,3,0.519186854,0.173062285,0.191915572,0.026973274,0.134917155,0.192354128,0.057436973,0.134917155,0.134917155,3,0.000727558
12.89581,75.225023,0.34,0.197429785,710,941.5,1407,1886,2226,2582,2775.5,2789.5,2966.5,3041,3704,2596.5,2,0.33063899,0.165319495,0.165319495,0.027921863,0.137397632,0.193241358,0.055843726,0.137397632,0.137397632,2,0.00077963
12.85404,74.97451,1.11,0.180769231,1130.5,1554,1989,2385,2800.5,3121.5,3517,3428,3773.5,3207,4919,3814.5,3,0.553596869,0.18453229,0.180769235,0.006295933,0.179425418,0.193402216,0.013976797,0.179425418,0.179425418,3,3.96E-05
12.859815,75.235672,1.02,0.175918019,739.5,929,1339,1940,2271,2568,2816.5,2774,2902,2934,3966.5,2910.5,3,0.548465759,0.18282192,0.176919818,0.009064447,0.175918013,0.195627928,0.019709915,0.175918013,0.175918013,3,8.22E-05
12.8527,74.97205,1,0.193529752,899,1207,1767,2237,2501,2885,3135.5,3035,3312.5,3219.5,4378.5,3393,3,0.519272506,0.173090835,0.170676261,0.018801916,0.151365712,0.197230533,0.04586482,0.151365712,0.151365712,3,0.000353512
12.85397,74.97201,1.04,0.206480933,947,1177,1562,2052,2386.5,2798.5,3046,3036,3194.5,3245,4306.5,3241.5,3,0.589461222,0.196487074,0.195032015,0.003283078,0.193396226,0.201032981,0.007636756,0.193396226,0.193396226,3,1.08E-05
12.892562,75.22958,0.31,0.163116928,773,1063,1544,2367,2573,3079.5,3466.5,3477.5,3457.5,3426,3766,2500.5,3,0.565209776,0.188403259,0.190007702,0.014382348,0.170041218,0.205160856,0.035119638,0.170041218,0.170041218,3,0.000206852
13.01861111,74.81388889,1.48,0.192589734,695,1299,1612,2092,2356,2645,2928.5,3090,3347,3149.5,4196.5,3065,3,0.5818948,0.193964933,0.19258973,0.009295631,0.183330223,0.205974847,0.022644624,0.183330223,0.183330223,3,8.64E-05
13.01861111,74.81388889,1.45,0.192589734,695,1299,1612,2092,2356,2645,2928.5,3090,3347,3149.5,4196.5,3065,3,0.5818948,0.193964933,0.19258973,0.009295631,0.183330223,0.205974847,0.022644624,0.183330223,0.183330223,3,8.64E-05
13.01861111,74.81388889,0.76,0.192589734,695,1299,1612,2092,2356,2645,2928.5,3090,3347,3149.5,4196.5,3065,3,0.5818948,0.193964933,0.19258973,0.009295631,0.183330223,0.205974847,0.022644624,0.183330223,0.183330223,3,8.64E-05
12.8539,74.97442,1.44,0.210188875,1202.5,1393,1828,2280,2525,2990,3326,3486,3608.5,3434,4487,3268,2,0.396331877,0.198165938,0.198165938,0.010991186,0.187174752,0.209157124,0.021982372,0.187174752,0.187174752,2,0.000120806
12.8477,74.98367,1.05,0.214308029,785.5,1381,2182,3190,3267,3635.5,3739,4342,3909.5,3302.5,4665.5,2898,3,0.53611809,0.17870603,0.168862641,0.025999359,0.152947426,0.214308023,0.061360598,0.152947426,0.152947426,3,0.000675967
12.8477,74.98367,1.12,0.214308029,785.5,1381,2182,3190,3267,3635.5,3739,4342,3909.5,3302.5,4665.5,2898,3,0.53611809,0.17870603,0.168862641,0.025999359,0.152947426,0.214308023,0.061360598,0.152947426,0.152947426,3,0.000675967
13.01916667,74.81861111,1.14,0.18768158,634,1130,1714,2472,2640,2963.5,3181.5,3260,3341.5,3131,4474.5,3155.5,4,0.719694123,0.179923531,0.183883578,0.027633691,0.137473837,0.214453131,0.076979294,0.137473837,0.137473837,4,0.000763621
13.01916667,74.81861111,1.21,0.18768158,634,1130,1714,2472,2640,2963.5,3181.5,3260,3341.5,3131,4474.5,3155.5,4,0.719694123,0.179923531,0.183883578,0.027633691,0.137473837,0.214453131,0.076979294,0.137473837,0.137473837,4,0.000763621
